date,ALL.Download,ALL.Upload,zona 1.Download,zona 1.Upload,zona 10.Download,zona 10.Upload,zona 2.Download,zona 2.Upload,zona 3.Download,zona 3.Upload,zona 4.Download,zona 4.Upload,zona 5.Download,zona 5.Upload,zona 6.Download,zona 6.Upload,zona 7.Download,zona 7.Upload,zona 8.Download,zona 8.Upload,zona 9.Download,zona 9.Upload
2019/06/05,452659.61439991,62985.745593070984,48583.8450717926,11323.954387664795,74294.68398094177,8342.606014251709,31486.058121681213,3698.7279720306396,62571.56066799164,7278.562383651733,38263.41917324066,6466.221714019775,20168.780924797058,3937.6866035461426,54851.936287879944,7147.980175971985,35946.07359313965,4154.516300201416,45065.7660112381,4445.081213951111,41427.49056720734,6190.408827781677
2019/06/04,491153.93437099457,64775.123143196106,50304.29685878754,10569.756920814514,91340.99598312378,9015.86676120758,32826.796469688416,6481.5678358078,78940.10126018524,9385.769395828247,44644.04217815399,4786.677527427673,24156.968512535095,2398.291925430298,50351.370188713074,6552.6499490737915,28697.191354751587,4413.046610832214,46920.401819229126,4742.045937538147,42971.76974582672,6429.45027923584
2019/06/03,483337.54983329773,59523.132402420044,47846.34907436371,12223.9491147995,86400.0947713852,8446.268918991089,34899.77520751953,3182.5326528549194,74335.65781497955,8865.169603347778,42797.773471832275,5923.822023391724,19732.912623405457,2558.528331756592,50644.49621009827,5401.854887962341,38046.93842601776,3613.759192466736,53015.59381866455,5539.230621337891,35617.95841503143,3768.0170555114746
2019/06/02,515311.5180969238,71672.09282970428,51842.521845817566,14600.26232624054,91586.79448986053,9464.106617927551,35976.174860954285,4695.206458091736,68958.68934726715,7971.740077018738,51932.44209194183,7771.00509262085,21127.521781921387,2791.700026512146,57525.677042007446,8717.817359924316,38423.176431655884,3088.945689201355,53048.01668834686,5924.4218282699585,44890.50351715088,6646.887353897095
2019/06/01,521390.5010519028,77639.15248394012,61479.36379241943,17623.25070953369,91077.44239139557,11650.459837913513,37267.59674549103,4188.910252571106,82088.25449848175,11749.99980354309,47939.73630523682,4363.348026275635,16668.547611236572,2073.8558263778687,55265.81138038635,9106.510803222656,39573.48404216766,4102.690837860107,46969.88732910156,5321.955318450928,43060.37695598602,7458.171068191528
2019/05/31,530758.1030654907,71776.39877128601,62269.22695827484,15352.93516921997,95218.39754104614,11152.886271476746,42117.58192443848,3722.2084674835205,85191.51594257355,14214.343413352966,43331.25476837158,4244.377390861511,19247.665744781494,2229.011972427368,55989.11205863953,7855.229691505432,40953.23641586304,3642.732364654541,48177.72907066345,5688.630298614502,38262.38264083862,3674.043731689453
2019/05/30,510149.4410972595,69568.26105594635,58014.83678531647,15064.587532997131,76842.76378536224,8971.186212539673,36917.805846214294,5210.390294075012,77469.95374393463,9094.816383361816,53258.031995773315,6958.052229881287,24010.446637153625,1857.635521888733,59050.80626010895,7478.968406677246,36701.41868686676,3450.3668212890625,53682.66951942444,6946.258675575256,34200.7078371048,4535.998977661133
2019/05/29,486662.13822746277,58707.69473361969,43234.56964111328,10458.979692459106,85360.5122127533,6862.1027002334595,32089.737389564514,4463.2613916397095,79657.40173721313,10696.023741722107,46694.179443359375,4312.165323257446,26023.46262073517,2355.328811645508,51871.76338100433,7924.636631011963,31153.73973083496,2803.651008605957,47660.38401222229,5171.598412513733,42916.388058662415,3659.9470205307007
2019/05/28,427427.6885032654,55079.11564159393,43996.62114524841,9785.47952079773,64923.33765220642,9344.89176273346,34846.92345237732,3398.610472679138,62484.38758850098,8651.401730537415,37852.38711261749,4402.90701007843,32540.988264083862,2483.9606161117554,50515.34250354767,5777.873704910278,31432.568103790283,3401.932785987854,34458.0524892807,4269.4784688949585,34377.080191612244,3562.579568862915
2019/05/27,412520.2622747421,59119.40693473816,49007.220905303955,20116.17760181427,58122.16349697113,5880.020998001099,31187.110438346863,2681.097755432129,61633.941281318665,7443.736367225647,37741.53328227997,3623.6058769226074,15566.339440345764,1618.2443017959595,52873.86992931366,4679.328062057495,37596.25897502899,3011.701828956604,37508.604961395264,7358.755256652832,31283.219564437866,2706.7388858795166
2019/05/26,478185.78571510315,70597.72103500366,52762.7021856308,15476.205623626709,72652.56421947479,9823.971321105957,31674.577466011047,4528.122398376465,67213.49921607971,9692.862114906311,52316.9048500061,3909.759928703308,19445.029379844666,1920.0554304122925,56031.14753341675,7920.577753067017,41552.3252620697,7207.846842765808,36632.168751716614,6160.467712402344,47904.866850852966,3957.851909637451
2019/05/25,362387.6661090851,46409.24222278595,43516.349197387695,10198.403433799744,52518.19164943695,7099.519381523132,29457.471284866333,4088.733256340027,48071.091943740845,5867.230875968933,43891.8136177063,3865.025547981262,18029.307156562805,1052.0539054870605,41826.799966812134,5719.8420152664185,28952.318831443787,3334.8017206192017,28063.387766838074,2660.5206756591797,28060.93469429016,2523.111410140991
2019/05/24,509565.02120018005,62090.24012565613,57498.35345745087,13374.007278442383,80391.9968175888,8707.751313209534,43597.04575252533,5136.542981147766,73292.9379529953,8131.2283725738525,51169.879541397095,5233.902912139893,18147.255789756775,1261.8240385055542,63497.72201061249,6339.129030227661,37213.97377681732,3064.842022895813,42524.85421085358,5315.657485961914,42231.001890182495,5525.354690551758
2019/05/23,486457.38973617554,65810.28237056732,51550.14372444153,13273.583218574524,75214.7652835846,9339.985100746155,38002.90524768829,5447.948192596436,67343.80918693542,8517.267058372498,47659.58667087555,4675.162328720093,26728.26452732086,2381.945520401001,56389.11790847778,8108.864977836609,38033.20319080353,5482.26713848114,48098.60546684265,4827.999979972839,37436.98852920532,3755.258854866028
2019/05/22,450983.44516563416,60968.02530479431,43318.95991897583,8412.848194122314,80614.02324390411,9276.688323020935,39251.53580284119,6452.072455406189,63156.82187271118,7159.659229278564,48245.924379348755,5565.811182022095,22055.04484653473,2391.153350830078,50443.32499885559,6301.415933609009,35111.81278133392,5615.95020198822,30262.666306495667,5338.12924861908,38523.33101463318,4454.297185897827
